"V1","V2","V3"
3296440,-0.604604726832555,2.06284408843255e-100
20358719,-0.60446139962146,2.36360531134261e-100
13049540,-0.604304461611153,2.7432295733795e-100
3305819,-0.604243718313168,2.90596141515015e-100
3301052,-0.603905408870143,4.00481768484058e-100
3297703,-0.603866320225832,4.15590902102622e-100
33958368,-0.603561577741421,5.54597494872666e-100
30395968,-0.602704922194228,1.24599167941234e-99
18903893,-0.601473032265371,3.97344379591726e-99
24887830,-0.601345579043663,4.47868398883642e-99
20120265,-0.601329564922131,4.54653267734435e-99
9312071,-0.601147094873289,5.39582609302264e-99
9319059,-0.600734906069263,7.94137918453309e-99
30387933,-0.600450914557306,1.03607549115586e-98
15078778,-0.600054498374456,1.5011176636539e-98
24888178,-0.599219270946722,3.27299334132502e-98
18906621,-0.598524554392063,6.24834541033178e-98
20119048,-0.598430696611154,6.81791676055411e-98
9312280,-0.598299945505121,7.69856596321985e-98
9326047,-0.598055871645645,9.65669947189879e-98
22982399,-0.597864876292481,1.15288371005431e-97
9317310,-0.597850045291356,1.16885089970107e-97
33966335,-0.597470256880755,1.6619713267204e-97
17100797,-0.597418584504427,1.74343514982297e-97
22980133,-0.59696336200384,2.65662213329366e-97
33967070,-0.596801836516778,3.08436533312675e-97
17094677,-0.596010607036201,6.40076545688084e-97
30390398,-0.595884390652119,7.1899936641705e-97
18893723,-0.595582768767218,9.49096821092469e-97
37316892,-0.595495504632732,1.02842593447602e-96
18894901,-0.594926740087719,1.73434627180384e-96
30396435,-0.594326779322232,3.0064661635948e-96
4144805,-0.594209086959248,3.34861761700171e-96
14561957,-0.594151761988336,3.52905274346302e-96
9327776,-0.594140370908233,3.56604428974739e-96
20126194,-0.593957884034131,4.21415655999552e-96
20119521,-0.593086870213589,9.3374850564546e-96
30393547,-0.592832113223425,1.17784783685698e-95
30400372,-0.592494088734281,1.60241653197564e-95
22980511,-0.59219121531084,2.11069371841866e-95
17093779,-0.592133416839953,2.22455944400037e-95
20361786,-0.59206974579928,2.35708884342877e-95
7297599,-0.591450342828787,4.13591502711672e-95
18903894,-0.59140666709462,4.3029916874874e-95
22980139,-0.591198509907216,5.19641478920453e-95
15205276,-0.591020136573509,6.10754028543995e-95
28922301,-0.590035518371762,1.48722159660048e-94
18901380,-0.589626759379579,2.15002027864367e-94
22978831,-0.589226541556391,3.08278639755602e-94
9325765,-0.589015166435285,3.72830265999534e-94
33970054,-0.588955902788112,3.93232944368081e-94
7292223,-0.587814410876055,1.09495974297711e-93
30404591,-0.587491530812521,1.46176556702959e-93
22963585,-0.587162354755697,1.96181817601617e-93
23000662,-0.586774677325867,2.7730724801328e-93
18082458,-0.58655725145985,3.36642052525423e-93
11329522,-0.586544598401533,3.40460569906143e-93
20123310,-0.586392754638246,3.8979313580205e-93
18896021,-0.586329084106939,4.12540927840579e-93
11340432,-0.584866774072872,1.51253522918967e-92
32367115,-0.584563991498575,1.97777615862421e-92
20129831,-0.584495730499195,2.10096211957755e-92
20351348,-0.583968770433858,3.34799083235543e-92
24871100,-0.582962739422607,8.13014667601118e-92
18559364,-0.582614478078664,1.10451250821332e-91
21608933,-0.582543360060498,1.1757781591747e-91
9322397,-0.582454253536054,1.27156677528853e-91
13048617,-0.582440220911321,1.28734441491933e-91
33957551,-0.582385225624965,1.35108075957695e-91
33952455,-0.581799179964591,2.25980844706044e-91
9324114,-0.581716272417016,2.43017687760354e-91
14564607,-0.581713479175799,2.43613429840854e-91
18076074,-0.581422480792455,3.14357059508466e-91
11750578,-0.581160508782738,3.95371601293248e-91
20133094,-0.58106277379764,4.30659353718632e-91
9327516,-0.580801008964643,5.41394026586624e-91
33959041,-0.580701019157109,5.9081432836694e-91
18083204,-0.580677607773925,6.03020023835093e-91
18564447,-0.580365230676169,7.9205956633924e-91
33958961,-0.57975901093088,1.34343979401418e-90
2180404,-0.579750126534547,1.35387155574104e-90
30390901,-0.579588025545089,1.55901720580024e-90
22978020,-0.579567572262441,1.58701018882526e-90
18902059,-0.579276693451911,2.04379192955558e-90
20123309,-0.579049546426697,2.4897001776424e-90
28918431,-0.57866674111988,3.47088600157587e-90
11328816,-0.578264373794381,4.91928000403582e-90
9321995,-0.578034555720636,6.00228171489835e-90
33957461,-0.57790953643426,6.68800472415858e-90
33970256,-0.577306820785182,1.12590747716827e-89
3300859,-0.57726058740058,1.17175060182366e-89
24879541,-0.576670321827863,1.9492945324639e-89
28920111,-0.576018906517731,3.41426227373864e-89
18896492,-0.575854352353449,3.93278861015484e-89
9316515,-0.575543808499938,5.13435363950822e-89
20126838,-0.575543177147833,5.13713583543941e-89
20123180,-0.575175887562867,7.03887780568154e-89
23001535,-0.574837537126414,9.40492650347918e-89
18068237,-0.574257782260997,1.54404068798111e-88
33970249,-0.574155855124118,1.68448425016036e-88
7283213,-0.574108733891479,1.753643556506e-88
11338491,-0.573837290096077,2.21079231227515e-88
30399893,-0.573735200354552,2.41191316683952e-88
9316383,-0.573330802140143,3.40423071832169e-88
18898881,-0.573204004377343,3.79228244509319e-88
15072338,-0.572904759617098,4.89171496742787e-88
15064383,-0.572741355312361,5.62063369041543e-88
14569794,-0.572409414013886,7.45116268538077e-88
22987127,-0.571753240838066,1.29971185077043e-87
11341136,-0.571665240660048,1.40026426433332e-87
30389723,-0.571580971866409,1.50380493496676e-87
24886918,-0.5712006419898,2.07447673126826e-87
20134804,-0.571103401723264,2.25217025361173e-87
9318676,-0.569900612736922,6.21023873686603e-87
37404277,-0.569686470097666,7.43609464685851e-87
20358079,-0.569567455336158,8.21867639949619e-87
28931249,-0.569296741060326,1.03177322151828e-86
9329910,-0.568950316557503,1.37993682085961e-86
22983075,-0.568439641158547,2.11705326849173e-86
2168087,-0.567930464378427,3.24141947310217e-86
2165437,-0.567844065451848,3.48413726578191e-86
24887247,-0.567761750809143,3.73219373028524e-86
11330274,-0.567747127710509,3.7780654433323e-86
9324338,-0.567292259769844,5.52286065907907e-86
20362293,-0.567205096806971,5.93925940156407e-86
32372663,-0.567159529908279,6.16924069666113e-86
30389315,-0.566002179058895,1.61598657025434e-85
11342200,-0.565975766218373,1.65181971592512e-85
18894205,-0.565643213635088,2.17677172878466e-85
20118962,-0.56534098129204,2.79651842028589e-85
18080938,-0.565329830772219,2.82247278634096e-85
33956656,-0.565263294468318,2.98240811975934e-85
3300252,-0.565229814848842,3.06626543006481e-85
13057639,-0.564755253131575,4.54111184989366e-85
9312953,-0.564729560935467,4.63860945675119e-85
20128281,-0.563923976500633,9.02086818240049e-85
37417639,-0.563686668366736,1.09695561628128e-84
9538482,-0.563650035507519,1.13056381032418e-84
20123683,-0.5634955244658,1.28397323934635e-84
22976612,-0.56345872528804,1.3234663511169e-84
17100516,-0.56321943478329,1.61148739693412e-84
20126106,-0.563123279814,1.7440930207074e-84
28925498,-0.562684817437032,2.50050742443586e-84
16288102,-0.562404933433513,3.14614011191568e-84
22958867,-0.562301244152868,3.42537769410748e-84
18072503,-0.562093265389486,4.06203513300674e-84
13056181,-0.561998157628035,4.39118918481894e-84
9312028,-0.561967257697808,4.50374402050613e-84
20130017,-0.561832723556356,5.02823922116985e-84
18562912,-0.561788994711383,5.21148865552141e-84
22988856,-0.561653293959242,5.8235722255668e-84
28925774,-0.561210659525865,8.36268011360949e-84
20121065,-0.561184823924265,8.54104506683092e-84
21609933,-0.56089217294315,1.08461739574708e-83
15208755,-0.560824946121685,1.14577312471316e-83
15283851,-0.56063853865977,1.33390298148678e-83
28915382,-0.560463268228863,1.53874575674718e-83
9316382,-0.560396756027195,1.62443116127768e-83
24877351,-0.560365679200062,1.66607903389435e-83
37412090,-0.560201969739046,1.90367644593287e-83
20125644,-0.559984431039867,2.27236449931996e-83
15197482,-0.559812746943109,2.61286048422362e-83
9320440,-0.559784484606789,2.67359106560435e-83
22969367,-0.559759018707557,2.72951549154996e-83
20360069,-0.559727458276472,2.80044276874746e-83
17108039,-0.559392518393733,3.67612250914078e-83
28912617,-0.559165073280198,4.42133516350412e-83
30394818,-0.558706355576643,6.41269639543869e-83
33961108,-0.558686189805139,6.51829580562323e-83
13048032,-0.558307015676881,8.85970820168756e-83
32374100,-0.557810074619318,1.32385824735508e-82
20123793,-0.557690203686486,1.45838115908586e-82
15066253,-0.557555918950769,1.62530203863027e-82
9087372,-0.557524778626738,1.66665159192268e-82
30398099,-0.557465669327823,1.74804243198078e-82
32375610,-0.557406042203722,1.83415615630412e-82
15420396,-0.557358163698529,1.90635000294718e-82
32375304,-0.55697467505797,2.59654687413261e-82
32379248,-0.556890864894154,2.77779652674315e-82
3309759,-0.556845757432632,2.8805062436933e-82
20123733,-0.556627212248546,3.43425304548008e-82
33964295,-0.55660524041708,3.49547735856108e-82
2906030,-0.556561796413573,3.61975095556762e-82
34302987,-0.556370839225947,4.2202794823677e-82
22976912,-0.556090472004876,5.28613378863706e-82
1885380,-0.556070695266479,5.3707273187674e-82
18907366,-0.555590053806476,7.89698625339527e-82
20133194,-0.555588268325626,7.9082944878807e-82
11329443,-0.555444455550554,8.87412755014593e-82
11336891,-0.555044537401206,1.22224324758413e-81
28912960,-0.555033305122393,1.23327473940194e-81
28920634,-0.554953737199742,1.31431102818884e-81
4669760,-0.554857593576557,1.41933255188108e-81
24877416,-0.554485921915248,1.91005237417204e-81
17101249,-0.554310218122687,2.19762539020219e-81
25105906,-0.554267628664543,2.27358918780488e-81
20121779,-0.55402170829079,2.76622799627123e-81
24882324,-0.553647402172373,3.72730401323204e-81
22967546,-0.553535154133109,4.07567631111109e-81
33965435,-0.553278905962725,4.99724908890222e-81
13064876,-0.553100600994909,5.75822071130685e-81
28923077,-0.552738028901664,7.67974118223142e-81
15064094,-0.552705608725443,7.8799136673169e-81
28917620,-0.552679676044554,8.04376331574711e-81
4138917,-0.55236902413806,1.02911977470929e-80
16303379,-0.552363401546057,1.03371694251378e-80
20355873,-0.552323435502245,1.06698873196183e-80
33967794,-0.552233886627314,1.14546024090549e-80
4153884,-0.551980612657708,1.3999068533713e-80
15408712,-0.55193666050145,1.44947201534843e-80
22982907,-0.551862720741366,1.53682761203151e-80
11324789,-0.551644927365544,1.82578785055851e-80
15555256,-0.551413669860093,2.19200135121229e-80
24872622,-0.551317611008934,2.36482750128068e-80
15062364,-0.551134082831002,2.7336305861937e-80
23000659,-0.551125853125594,2.75144767499132e-80
33959331,-0.551061122482563,2.89567931086883e-80
15415277,-0.551054716940816,2.91035504240545e-80
37407005,-0.551000529452746,3.03750441436446e-80
22978390,-0.550609735587958,4.13378215026929e-80
11336707,-0.550484482283908,4.56251380726193e-80
9537222,-0.549923504767159,7.09455660223947e-80
2178138,-0.549832583346167,7.62016776964687e-80
2173274,-0.549763377062907,8.04607676687544e-80
18897547,-0.549732454355071,8.24396419020399e-80
28930329,-0.549608209807362,9.08911542560204e-80
22977595,-0.549320431129104,1.13927288761706e-79
9329252,-0.549279554951596,1.17640008672188e-79
20131561,-0.549231595197403,1.22149976421063e-79
4146916,-0.549176319857188,1.27561795742837e-79
11327663,-0.549032730480173,1.42761765297588e-79
24456328,-0.548828278851588,1.67565829938058e-79
20355458,-0.548816015611914,1.69183121464935e-79
3314219,-0.548801938627785,1.71058780370721e-79
20127357,-0.548773182911261,1.74954865748631e-79
17102183,-0.548609798018646,1.98829090574015e-79
9523298,-0.548601974211101,2.00050387218755e-79
24883967,-0.548436470725377,2.27709367597643e-79
15194244,-0.548433557453706,2.28228883269755e-79
22959910,-0.548344122372055,2.44764878608822e-79
4665741,-0.54833568460791,2.46385241448618e-79
20136160,-0.54833315138383,2.46873795566995e-79
20132578,-0.548287998372554,2.55745559628991e-79
3296900,-0.547971043996369,3.27622692586993e-79
9313780,-0.54780965104759,3.7162266314698e-79
24874014,-0.547496539518107,4.74452763428308e-79
22979756,-0.547380901203661,5.19213590392042e-79
32362679,-0.547215878079848,5.90464048323396e-79
20121795,-0.547148151255252,6.22450299167338e-79
28916512,-0.547138743744623,6.27027690169297e-79
11334371,-0.547088807219925,6.51892207670264e-79
11323939,-0.546852152151177,7.83747838975414e-79
20121007,-0.546793548889244,8.2030837670611e-79
28916907,-0.546774083081635,8.32824245520219e-79
24884258,-0.546631587270486,9.30422369188764e-79
22986845,-0.546468555943872,1.05612235120874e-78
22985217,-0.546366995363092,1.14283224149838e-78
25983972,-0.546252795607711,1.24882439608941e-78
30399894,-0.546052956971647,1.45837774081208e-78
22985418,-0.546014662318531,1.5023618655136e-78
17106236,-0.545998329502451,1.52152072711702e-78
18552792,-0.545763591240626,1.8253204947303e-78
17842911,-0.545552866204853,2.14911304832571e-78
30395628,-0.545210514886798,2.80137435866634e-78
14574658,-0.545172863795415,2.88418294082648e-78
33953043,-0.545009500337325,3.27263951569881e-78
20128568,-0.54497887138414,3.35106896564492e-78
15207278,-0.544649583814735,4.32206175855517e-78
24876405,-0.544639007760771,4.35750823235064e-78
4155013,-0.54461986322071,4.42241042041952e-78
20120266,-0.544601300463897,4.48625912568911e-78
15248162,-0.544515499236355,4.79351479136955e-78
13054504,-0.5444004495743,5.23863234100862e-78
13052650,-0.544220840965523,6.01716025139648e-78
18083372,-0.544203513475412,6.09810391319425e-78
22973151,-0.544152681067526,6.34187121943098e-78
11334615,-0.543822678318189,8.17818245049334e-78
21915204,-0.54366712085189,9.21877840115454e-78
9541612,-0.543378320543048,1.15125757654756e-77
32373410,-0.543157337449341,1.36441951930765e-77
33958984,-0.543077542143404,1.45068849749653e-77
1595263,-0.542884865097921,1.68204454098411e-77
17103225,-0.542768575622116,1.8390908640535e-77
18277821,-0.542671017077852,1.98204320402961e-77
3299781,-0.542534501523238,2.20083233196509e-77
14576178,-0.542528987557913,2.21015758759752e-77
20127761,-0.542525650516875,2.21582031133271e-77
2173436,-0.54240688694721,2.42704004947138e-77
28929932,-0.542205264180523,2.83250807944886e-77
11331644,-0.542112786483019,3.04039365717695e-77
17109134,-0.54196803890116,3.39667928028008e-77
28915500,-0.541700458530766,4.16827311563728e-77
30404395,-0.541650595030561,4.33026125781543e-77
14577092,-0.541492180702963,4.8876437320803e-77
20358060,-0.541302231017334,5.65088078975063e-77
15288096,-0.541002672801696,7.10254506956875e-77
9318208,-0.540811976474836,8.21436644500779e-77
